code,Name,yield_basis,data_fill_reason
64940,ＮＦＫホールディングス,none,missing_dps; missing_total_div; missing_shares
72790,ハイレックスコーポレーション,none,missing_dps; missing_total_div; missing_shares
32880,オープンハウスグループ,none,missing_total_div; missing_shares
50190,出光興産,none,missing_dps; missing_total_div; missing_shares
63630,酉島製作所,none,missing_dps; missing_total_div; missing_shares
39740,ＳＣＡＴ,none,missing_dps; missing_total_div; missing_shares
33210,ミタチ産業,none,missing_total_div; missing_shares
52900,ベルテクスコーポレーション,none,missing_total_div; missing_shares
93100,日本トランスシティ,none,missing_total_div; missing_shares
41090,ステラ　ケミファ,none,missing_dps; missing_total_div; missing_shares
19670,ヤマト,none,missing_dps; missing_total_div; missing_shares
17360,オーテック,none,missing_dps; missing_total_div; missing_shares
46260,太陽ホールディングス,none,missing_dps; missing_total_div; missing_shares
86140,東洋証券,none,missing_total_div; missing_shares
95310,東京瓦斯,none,missing_dps; missing_total_div; missing_shares
68170,スミダコーポレーション,none,missing_dps; missing_total_div; missing_shares
97080,帝国ホテル,none,missing_dps; missing_total_div; missing_shares
74620,ＣＡＰＩＴＡ,none,missing_dps; missing_total_div; missing_shares
19300,北陸電気工事,none,missing_total_div; missing_shares
74830,ドウシシャ,none,missing_dps; missing_total_div; missing_shares
69550,ＦＤＫ,none,missing_dps; missing_total_div; missing_shares
36110,マツオカコーポレーション,none,missing_dps; missing_total_div; missing_shares
19600,サンテック,none,missing_dps; missing_total_div; missing_shares
83700,紀陽銀行,none,missing_dps; missing_total_div; missing_shares
45120,わかもと製薬,none,missing_total_div; missing_shares
62470,日阪製作所,none,missing_dps; missing_total_div; missing_shares
54580,高砂鐵工,none,missing_dps; missing_total_div; missing_shares
19460,トーエネック,none,missing_dps; missing_total_div; missing_shares
75210,ムサシ,none,missing_total_div; missing_shares
33200,クロスプラス,none,missing_dps; missing_total_div; missing_shares
38260,システムインテグレータ,none,missing_total_div; missing_shares
24920,インフォマート,none,missing_dps; missing_total_div; missing_shares
34350,サンコーテクノ,none,missing_dps; missing_total_div; missing_shares
86220,水戸証券,none,missing_dps; missing_total_div; missing_shares
66470,森尾電機,none,missing_total_div; missing_shares
62180,エンシュウ,none,missing_dps; missing_total_div; missing_shares
70370,テノ．ホールディングス,none,missing_total_div; missing_shares
50790,ノバック,none,missing_dps; missing_total_div; missing_shares
17200,東急建設,none,missing_dps; missing_total_div; missing_shares
35510,ダイニック,none,missing_dps; missing_total_div; missing_shares
21220,インタースペース,none,missing_dps; missing_total_div; missing_shares
38480,データ・アプリケーション,none,missing_dps; missing_total_div; missing_shares
87070,岩井コスモホールディングス,none,missing_dps; missing_total_div; missing_shares
80650,佐藤商事,none,missing_total_div; missing_shares
93530,櫻島埠頭,none,missing_total_div; missing_shares
63240,ハーモニック・ドライブ・システムズ,none,missing_dps; missing_total_div; missing_shares
59760,高周波熱錬,none,missing_dps; missing_total_div; missing_shares
51950,バンドー化学,none,missing_dps; missing_total_div; missing_shares
42420,タカギセイコー,none,missing_dps; missing_total_div; missing_shares
17930,大本組,none,missing_total_div; missing_shares
61780,日本郵政,none,missing_dps; missing_total_div; missing_shares
89350,ＦＪネクストホールディングス,none,missing_total_div; missing_shares
22070,ｍｅｉｔｏ,none,missing_dps; missing_total_div; missing_shares
79320,ニッピ,none,missing_total_div; missing_shares
82180,コメリ,none,missing_dps; missing_total_div; missing_shares
37960,いい生活,none,missing_dps; missing_total_div; missing_shares
19750,朝日工業社,none,missing_total_div; missing_shares
61360,オーエスジー,none,missing_total_div; missing_shares
59920,中央発條,none,missing_dps; missing_total_div; missing_shares
26020,日清オイリオグループ,none,missing_dps; missing_total_div; missing_shares
64860,イーグル工業,none,missing_total_div; missing_shares
71610,じもとホールディングス,none,missing_total_div; missing_shares
39530,大村紙業,none,missing_total_div; missing_shares
23540,ＹＥ　ＤＩＧＩＴＡＬ,none,missing_total_div; missing_shares
32670,フィル・カンパニー,none,missing_total_div; missing_shares
81010,ＧＳＩクレオス,none,missing_total_div; missing_shares
74250,初穂商事,none,missing_total_div; missing_shares
64850,前澤給装工業,none,missing_total_div; missing_shares
69010,澤藤電機,none,missing_total_div; missing_shares
80060,ユアサ・フナショク,none,missing_total_div; missing_shares
42860,ＣＬホールディングス,none,missing_total_div; missing_shares
64280,オーイズミ,none,missing_dps; missing_total_div; missing_shares
83830,鳥取銀行,none,missing_total_div; missing_shares
74170,南陽,none,missing_total_div; missing_shares
35930,ホギメディカル,none,missing_total_div; missing_shares
45070,塩野義製薬,none,missing_dps; missing_total_div; missing_shares
44400,ヴィッツ,none,missing_dps; missing_total_div; missing_shares
46250,アトミクス,none,missing_total_div; missing_shares
45530,東和薬品,none,missing_dps; missing_total_div; missing_shares
79490,小松ウオール工業,none,missing_dps; missing_total_div; missing_shares
82370,松屋,none,missing_dps; missing_total_div; missing_shares
32940,イーグランド,none,missing_total_div; missing_shares
28840,ヨシムラ・フード・ホールディングス,none,missing_dps; missing_total_div; missing_shares
71200,ＳＨＩＮＫＯ,none,missing_total_div; missing_shares
68990,ＡＳＴＩ,none,missing_total_div; missing_shares
83580,スルガ銀行,none,missing_total_div; missing_shares
80180,三共生興,none,missing_total_div; missing_shares
93070,杉村倉庫,none,missing_total_div; missing_shares
59900,スーパーツール,none,missing_dps; missing_total_div; missing_shares
86160,東海東京フィナンシャル・ホールディングス,none,missing_dps; missing_total_div; missing_shares
65160,山洋電気,none,missing_dps; missing_total_div; missing_shares
98370,モリト,none,missing_total_div; missing_shares
30400,ソリトンシステムズ,none,missing_total_div; missing_shares
97090,ＮＣＳ＆Ａ,none,missing_total_div; missing_shares
30830,スターシーズ,none,missing_dps; missing_total_div; missing_shares
90100,富士急行,none,missing_dps; missing_total_div; missing_shares
62890,技研製作所,none,missing_dps; missing_total_div; missing_shares
40250,多木化学,none,missing_total_div; missing_shares
74590,メディパルホールディングス,none,missing_total_div; missing_shares
68820,三社電機製作所,none,missing_dps; missing_total_div; missing_shares
18330,奥村組,none,missing_total_div; missing_shares
93060,東陽倉庫,none,missing_total_div; missing_shares
31830,ウイン・パートナーズ,none,missing_total_div; missing_shares
85510,北日本銀行,none,missing_total_div; missing_shares
19410,中電工,none,missing_dps; missing_total_div; missing_shares
33580,ワイエスフード,none,missing_dps; missing_total_div; missing_shares
91040,商船三井,none,missing_total_div; missing_shares
33150,日本コークス工業,none,missing_dps; missing_total_div; missing_shares
40400,南海化学,none,missing_dps; missing_total_div; missing_shares
60890,ウィルグループ,none,missing_dps; missing_total_div; missing_shares
99600,東テク,none,missing_total_div; missing_shares
68980,トミタ電機,none,missing_dps; missing_total_div; missing_shares
94750,昭文社ホールディングス,none,missing_dps; missing_total_div; missing_shares
30790,ディーブイエックス,none,missing_dps; missing_total_div; missing_shares
14180,インターライフホールディングス,none,missing_dps; missing_total_div; missing_shares
57020,大紀アルミニウム工業所,none,missing_dps; missing_total_div; missing_shares
79710,東リ,none,missing_total_div; missing_shares
42280,積水化成品工業,none,missing_dps; missing_total_div; missing_shares
36730,ブロードリーフ,none,missing_total_div; missing_shares
59560,トーソー,none,missing_total_div; missing_shares
90440,南海電気鉄道,none,missing_dps; missing_total_div; missing_shares
95090,北海道電力,none,missing_dps; missing_total_div; missing_shares
76190,田中商事,none,missing_total_div; missing_shares
63280,荏原実業,none,missing_dps; missing_total_div; missing_shares
98350,ジュンテンドー,none,missing_dps; missing_total_div; missing_shares
99820,タキヒヨー,none,missing_total_div; missing_shares
68940,パルステック工業,none,missing_total_div; missing_shares
98490,共同紙販ホールディングス,none,missing_dps; missing_total_div; missing_shares
91930,東京汽船,none,missing_dps; missing_total_div; missing_shares
69620,大真空,none,missing_dps; missing_total_div; missing_shares
54820,愛知製鋼,none,missing_total_div; missing_shares
40920,日本化学工業,none,missing_total_div; missing_shares
21140,フジ日本,none,missing_total_div; missing_shares
34230,エスイー,none,missing_dps; missing_total_div; missing_shares
19450,東京エネシス,none,missing_dps; missing_total_div; missing_shares
72400,ＮＯＫ,none,missing_dps; missing_total_div; missing_shares
19340,ユアテック,none,missing_total_div; missing_shares
72760,小糸製作所,none,missing_dps; missing_total_div; missing_shares
37990,キーウェアソリューションズ,none,missing_total_div; missing_shares
