code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
13800,秋川牧園,dps_fallback,0.0093632958801498,True,10,0.2992700729927007,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
63910,加地テック,dps_fallback,0.0079051383399209,True,10,0.1341463414634146,E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
83880,阿波銀行,dps_fallback,0.0173992673992674,True,10,0.2268648809720888,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,True,False,False
49680,荒川化学工業,dps_fallback,0.0361890694239291,True,10,1.0255863539445629,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,,yield_total_fallback_dps,yf,False,False,False,False,False
80160,オンワードホールディングス,dps_fallback,0.034712950600801,True,10,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
49120,ライオン,dps_fallback,0.0158357771260997,True,10,0.4135718452265214,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
72540,ユニバンス,dps_fallback,0.016726403823178,True,10,0.0556745182012847,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
80970,三愛オブリ,dps_fallback,0.0438788942518648,True,10,0.6192739844425238,C_fcf_pos_ratio; D_fcf_hard_fail,,yield_total_fallback_dps,yf,False,False,False,False,False
62840,日精エー・エス・ビー機械,dps_fallback,0.0229357798165137,True,10,0.3238071723967656,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
86010,大和証券グループ本社,dps_fallback,0.0389836407935955,True,10,0.2939925759345551,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years,,yield_total_fallback_dps,yf,False,False,True,False,False
50710,ヴィス,dps_fallback,0.0296969696969696,True,6,0.3145017793594306,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
44630,日華化学,dps_fallback,0.0299884659746251,True,10,0.2566976489885183,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
77620,シチズン時計,dps_fallback,0.0275397796817625,True,10,0.439388486619546,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
77130,シグマ光機,dps_fallback,0.0209059233449477,True,10,,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
36650,エニグモ,dps_fallback,0.0241545893719806,True,7,1.7142857142857142,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
23930,日本ケアサプライ,dps_fallback,0.0292764533667921,True,10,10.150684931506849,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,div_split_adjusted; fcf_payout_extreme:10.15,yield_total_fallback_dps,yf,False,False,False,False,False
79550,クリナップ,dps_fallback,0.0299227799227799,True,10,,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
62030,豊和工業,dps_fallback,0.0114678899082568,True,10,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
84180,山口フィナンシャルグループ,dps_fallback,0.0239904038384646,True,10,0.0476568603593796,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield,,yield_total_fallback_dps,yf,False,False,True,False,False
50150,ビーピー・カストロール,dps_fallback,0.0419161676646706,True,10,2.115839243498818,A_non_cut_years; D_fcf_payout; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
28130,和弘食品,dps_fallback,0.0244949494949494,True,10,0.2364273204903677,E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
89190,カチタス,dps_fallback,0.0176656151419558,True,10,0.8316860465116279,D_fcf_payout; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
69540,ファナック,dps_fallback,0.01546616418155,True,10,0.6014817996349189,A_non_cut_years; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
81740,日本瓦斯,dps_fallback,0.0307308970099667,True,10,0.5628259696660871,A_non_cut_years,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
80530,住友商事,dps_fallback,0.0233309404163675,True,10,0.4975139086730991,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
53320,ＴＯＴＯ,dps_fallback,0.0172741406115045,True,10,0.6110880959671464,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
71810,かんぽ生命保険,dps_fallback,0.0226332970620239,True,10,0.1000094909427406,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,,yield_total_fallback_dps,yf,False,False,True,False,False
67310,ピクセラ,dps_fallback,0.0,False,2,,data_missing:div_history; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout,div_history_short,yield_total_fallback_dps,jquants,False,False,False,False,False
77450,Ａ＆Ｄホロンホールディングス,dps_fallback,0.0152788388082505,True,10,0.2128596293641855,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
26730,夢みつけ隊,dps_fallback,0.0,False,2,,data_missing:div_history; B_cfo_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,div_history_short,yield_total_fallback_dps,jquants,False,False,False,False,False
30360,アルコニックス,dps_fallback,0.026139173436948,True,10,0.2629104828419851,E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
78220,永大産業,dps_fallback,0.0398406374501992,True,10,0.1079163098005628,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail,,yield_total_fallback_dps,yf,False,False,False,False,False
67790,日本電波工業,dps_fallback,0.0232919254658385,True,10,0.1993100203857613,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
21390,中広,dps_fallback,0.0229007633587786,True,10,0.2903225806451613,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,,yield_total_fallback_dps,yf,False,False,False,False,False
70130,ＩＨＩ,dps_fallback,0.0321371183717193,True,10,0.2585969419338863,A_non_cut_years,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
31060,倉敷紡績,dps_fallback,0.0205949656750572,True,10,0.2412349045578496,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
77170,ブイ・テクノロジー,dps_fallback,0.0178173719376391,True,10,0.3487351574599897,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
44910,コンピューターマネージメント,dps_fallback,0.016886187098953,True,6,0.2082379862700228,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
67280,アルバック,dps_fallback,0.0179470343620048,True,10,0.6330848361167798,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
49250,ハーバー研究所,dps_fallback,0.0220994475138121,True,10,0.2048846675712347,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
88600,フジ住宅,dps_fallback,0.0381861575178997,True,10,,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
41180,カネカ,dps_fallback,0.0263317804334616,True,10,4.865923566878981,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
46940,ビー・エム・エル,dps_fallback,0.03,True,10,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; data_missing:fcf_payout,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
51870,クリエートメディック,dps_fallback,0.0336496980155306,True,10,0.2361597757533286,OK,,yield_total_fallback_dps,yf,False,False,False,True,False
79430,ニチハ,dps_fallback,0.0344931921331316,True,10,0.9648782850914376,D_fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
66990,ダイヤモンドエレクトリックホールディングス,dps_fallback,0.0407166123778501,True,7,0.0964406779661017,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,False
85930,三菱ＨＣキャピタル,dps_fallback,0.0282885431400282,True,10,1.1749108355978262,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,True,False,True
72770,ＴＢＫ,dps_fallback,0.0210526315789473,True,10,0.2809106830122592,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
70580,共栄セキュリティーサービス,dps_fallback,0.0303541315345699,True,7,0.4248366013071895,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,False
