code,Name,yield_basis,effective_yield,manual_dividend_check_reason
69190,ケル,dps_fallback,0.05475701574264202,yf_high_yield
54800,日本冶金工業,dps_fallback,0.047058823529411764,yf_high_yield
74800,スズデン,dps_fallback,0.057800224466891134,yf_high_yield
28710,ニチレイ,fwd,0.04780462457781242,yf_high_yield
63820,トリニティ工業,dps_fallback,0.048154093097913325,yf_high_yield
18260,佐田建設,fwd,0.07251476636615338,high_yield_risk; yf_high_yield
61960,ストライク,fwd,0.12354152367879204,high_yield_risk; yf_high_yield
79840,コクヨ,dps_fallback,0.08679968675361625,high_yield_risk; yf_high_yield
68940,パルステック工業,fwd,0.05205868433506862,yf_high_yield
70420,アクセスグループ・ホールディングス,dps_fallback,0.04823151125401929,yf_high_yield
71200,ＳＨＩＮＫＯ,fwd,0.10789766407119021,high_yield_risk; yf_high_yield
67370,ＥＩＺＯ,actual,0.048739098054733324,yf_high_yield
17930,大本組,fwd,0.04672897196261682,yf_high_yield
74670,萩原電気ホールディングス,dps_fallback,0.050203527815468114,yf_high_yield
68740,協立電機,fwd,0.05066956207021354,yf_high_yield
18780,大東建託,fwd,0.17872340425531916,high_yield_risk; yf_high_yield
80760,カノークス,fwd,0.05067064083457526,yf_high_yield
37080,特種東海製紙,dps_fallback,0.07453416149068323,high_yield_risk; yf_high_yield
14140,ショーボンドホールディングス,fwd,0.03218314917900635,yield_split_mismatch
99040,ベリテ,dps_fallback,0.046365914786967416,yf_high_yield
93680,キムラユニティー,dps_fallback,0.0711864406779661,high_yield_risk; yf_high_yield
45950,ミズホメディー,fwd,0.054914881933003847,yf_high_yield
40230,クレハ,fwd,0.051860744297719086,yf_high_yield
66940,ズーム,dps_fallback,0.04806201550387597,yf_high_yield
51080,ブリヂストン,dps_fallback,0.06231454005934718,high_yield_risk; yf_high_yield
63930,油研工業,fwd,0.04991680532445923,yf_high_yield
75930,ＶＴホールディングス,dps_fallback,0.04878048780487805,yf_high_yield
24750,ＷＤＢホールディングス,dps_fallback,0.04726205997392438,yf_high_yield
79140,共同印刷,fwd,0.08888888888888889,high_yield_risk; yf_high_yield
47250,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,fwd,0.048674959437533805,yf_high_yield
90080,京王電鉄,fwd,0.12610340479192939,high_yield_risk; yf_high_yield
82270,しまむら,dps_fallback,0.059417706476530004,yf_high_yield
46710,ファルコホールディングス,fwd,0.04723502304147465,yf_high_yield
89230,トーセイ,fwd,0.05714285714285714,yf_high_yield
73670,セルム,dps_fallback,0.0581039755351682,yf_high_yield
98560,ケーユーホールディングス,dps_fallback,0.052980132450331126,yf_high_yield
17870,ナカボーテック,fwd,0.049107142857142856,yf_high_yield
94330,ＫＤＤＩ,dps_fallback,0.05597375024126616,yf_high_yield
79710,東リ,fwd,0.04923076923076923,yf_high_yield
86980,マネックスグループ,dps_fallback,0.05644257703081232,yf_high_yield
54510,ヨドコウ,dps_fallback,0.25453226976069615,high_yield_risk; yf_high_yield
54060,神戸製鋼所,dps_fallback,0.05177323323841574,yf_high_yield
21140,フジ日本,fwd,0.05834683954619125,yf_high_yield
97820,ディーエムエス,fwd,0.0728395061728395,high_yield_risk; yf_high_yield
79570,フジコピアン,dps_fallback,0.05652173913043478,yf_high_yield
81300,サンゲツ,dps_fallback,0.049099836333878884,yf_high_yield
71640,全国保証,fwd,0.06446637877853177,high_yield_risk; yf_high_yield
88030,平和不動産,fwd,0.05062274005624749,yf_high_yield
52730,三谷セキサン,dps_fallback,0.07975113122171945,high_yield_risk; yf_high_yield
64630,ＴＰＲ,dps_fallback,0.07855459544383346,high_yield_risk; yf_high_yield
67180,アイホン,dps_fallback,0.04567814476458187,yf_high_yield
32310,野村不動産ホールディングス,dps_fallback,0.16634050880626222,high_yield_risk; yf_high_yield
85840,ジャックス,dps_fallback,0.0463980463980464,yf_high_yield
74640,セフテック,dps_fallback,0.0513595166163142,yf_high_yield
35970,自重堂,fwd,0.059940059940059943,yf_high_yield
77750,大研医器,dps_fallback,0.05088495575221239,yf_high_yield
54640,モリ工業,fwd,0.2171664943123061,high_yield_risk; yf_high_yield
82910,日産東京販売ホールディングス,dps_fallback,0.045283018867924525,yf_high_yield
73050,新家工業,dps_fallback,0.11677695601401324,high_yield_risk; yf_high_yield
59700,ジーテクト,dps_fallback,0.04644954618259477,yf_high_yield
81500,三信電気,dps_fallback,0.04845656855707107,yf_high_yield
53570,ヨータイ,dps_fallback,0.05166475315729047,yf_high_yield
81360,サンリオ,dps_fallback,0.051331719128329296,yf_high_yield
72610,マツダ,dps_fallback,0.04979628791308284,yf_high_yield
29320,ＳＴＩフードホールディングス,dps_fallback,0.1,high_yield_risk; yf_high_yield
24980,オリエンタルコンサルタンツホールディングス,fwd,0.07154471544715447,high_yield_risk; yf_high_yield
97570,船井総研ホールディングス,dps_fallback,0.0644883920894239,high_yield_risk; yf_high_yield
81170,中央自動車工業,dps_fallback,0.08617886178861789,high_yield_risk; yf_high_yield
54450,東京鐵鋼,dps_fallback,0.19430051813471502,high_yield_risk; yf_high_yield
75370,丸文,dps_fallback,0.05560235888795282,yf_high_yield
64180,日本金銭機械,dps_fallback,0.04945598417408507,yf_high_yield
18820,東亜道路工業,dps_fallback,0.0550122249388753,yf_high_yield
60700,キャリアリンク,fwd,0.05006257822277847,yf_high_yield
47140,リソー教育グループ,dps_fallback,0.04975124378109453,yf_high_yield
52840,ヤマウホールディングス,dps_fallback,0.05486399262332872,yf_high_yield
65390,ＭＳ−Ｊａｐａｎ,dps_fallback,0.05720122574055159,yf_high_yield
65350,アイモバイル,dps_fallback,0.045936395759717315,yf_high_yield
21480,アイティメディア,dps_fallback,0.06289308176100629,high_yield_risk; yf_high_yield
80430,スターゼン,dps_fallback,0.0912863070539419,high_yield_risk; yf_high_yield
