code,Name,yield_used,dividend_yield_fwd_total,dividend_yield_fwd,non_cut_years_verified,fcf_payout_3y,drop_reason,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
76370,白銅,dps_fallback,0.032520325203252,0.032520325203252,0.0,1.0620842572062084,A_non_cut_years; D_fcf_payout; F_value_pass; TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
68740,協立電機,dps_fallback,0.0526118000751597,0.0526118000751597,0.0,0.4533011272141707,A_non_cut_years; D_fcf_hard_fail; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False
85840,ジャックス,total,0.0459861932006414,0.0460048426150121,0.0,,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; TT_not_all_pass; data_missing:fcf_payout,div_split_adjusted,yf_source_high_yield,yf,False,False,True,False,False
63350,東京機械製作所,none,,,1.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total; data_missing:fcf_payout,shares_missing; div_split_adjusted; div_history_short,,yf,False,False,False,False,False
58680,ロココ,dps_fallback,0.0323176361957525,0.0323176361957525,2.0,0.6094276094276094,A_non_cut_years; F_value_pass; TT_not_all_pass,shares_missing; div_history_short; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
22220,寿スピリッツ,dps_fallback,0.0168820891585333,0.0168820891585333,2.0,0.5057341798074954,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
22150,第一屋製パン,none,,,0.0,0.0,A_non_cut_years; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_unknown; data_missing:yield_total,shares_missing; div_history_short,,jquants,False,False,False,False,False
24790,ジェイテック,dps_fallback,0.0421940928270042,0.0421940928270042,10.0,0.2902439024390243,F_value_pass; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
43820,ＨＥＲＯＺ,none,,,0.0,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total; data_missing:fcf_payout,shares_missing; div_history_short,,jquants,False,False,False,False,False
61850,ＳＭＮ,none,,,0.0,0.0,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total,shares_missing; div_history_short,,jquants,False,False,False,False,False
66940,ズーム,total,0.0480972332518829,0.0484375,2.0,1.1428571428571428,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; TT_not_all_pass,div_split_adjusted,yf_source_high_yield,yf,False,False,False,False,False
65700,共和コーポレーション,dps_fallback,0.0206270627062706,0.0206270627062706,0.0,2.4285714285714284,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
86980,マネックスグループ,total,0.0587409218099094,0.0584057971014492,0.0,,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; fin:G_eps_nonpositive; TT_not_all_pass; data_missing:fcf_payout,div_split_adjusted,yf_source_high_yield,yf,False,False,True,False,False
31430,オーウイル,dps_fallback,0.028169014084507,0.028169014084507,0.0,0.657314629258517,A_non_cut_years; B_cfo_pos_ratio; E_div_yield; F_value_pass; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
93600,鈴与シンワート,dps_fallback,0.0311418685121107,0.0311418685121107,10.0,0.1613106490233144,F_value_pass; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
71640,全国保証,dps_fallback,0.0655172413793103,0.0655172413793103,0.0,0.7650963345864662,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,True,False,False
31800,ビューティガレージ,dps_fallback,0.0096899224806201,0.0096899224806201,1.0,0.4512820512820513,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
44650,ニイタカ,dps_fallback,0.0339991500212494,0.0339991500212494,10.0,0.3960493827160494,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,True,False
26590,サンエー,dps_fallback,0.017684887459807,0.017684887459807,1.0,0.5631333257429124,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False
