code,Name,yield_basis,effective_yield,dividend_yield_total_actual,dividend_yield_total_fwd,dividend_yield_fwd_total,dividend_yield_fwd,non_cut_years_verified,fcf_payout_3y,drop_reason_core,drop_reason_satellite,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,satellite_pass,in_holdings
58850,ジーデップ・アドバンス,dps_fallback,0.007744107744107744,0.007712818085139251,0.007744107744107744,0.0077128180851392,0.0077441077441077,1.0,0.1681514476614699,A_non_cut_years; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
14380,岐阜造園,dps_fallback,0.019118428040361127,0.018988834483311692,0.019118428040361127,0.0189888344833116,0.0191184280403611,3.0,0.2327868852459016,A_non_cut_years; E_div_yield,TT_not_all_pass; yield_below_2pct,div_history_short,,yf,False,False,False,False,False,False
98760,コックス,dps_fallback,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A_non_cut_years; E_div_yield,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
65520,ＧａｍｅＷｉｔｈ,dps_fallback,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
81940,ライフコーポレーション,dps_fallback,0.04045605001838912,0.0210419758631261,0.04045605001838912,0.0210419758631261,0.0404560500183891,0.0,0.3771515425378959,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail,TT_not_all_pass,div_split_adjusted; yield_split_mismatch,yield_split_mismatch,yf,False,True,False,False,False,False
78330,アイフィスジャパン,none,,,,0.0451289398280802,0.0451289398280802,4.0,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
29320,ＳＴＩフードホールディングス,dps_fallback,0.09331259720062209,0.033679020547536236,0.09331259720062209,0.0336790205475362,0.093312597200622,0.0,0.7954719877206446,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,TT_not_all_pass,div_split_adjusted; yield_split_mismatch,yield_split_mismatch,yf,True,True,False,False,False,False
71260,グローバルスタイル,dps_fallback,0.0210727969348659,0.021001807420087504,0.0210727969348659,0.0210018074200875,0.0210727969348659,2.0,0.3398058252427184,A_non_cut_years; E_div_yield,TT_not_all_pass,div_split_adjusted; div_history_short,,yf,False,False,False,False,False,False
89460,ＡＳＩＡＮ　ＳＴＡＲ,none,,,,,,0.0,0.0,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,shares_missing; div_history_short,,jquants,False,False,False,False,False,False
27210,ジェイホールディングス,none,,,,,,0.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass; yield_unknown,shares_missing; div_history_short,,jquants,False,False,False,False,False,False
30240,クリエイト,none,,,,0.0160771704180064,0.0160771704180064,4.0,0.1768219832735962,A_non_cut_years; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
29840,ヤマイチエステート,none,,,,,,0.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass; yield_unknown,shares_missing; div_history_short,,yf,False,False,False,False,False,False
36700,協立情報通信,none,,,,0.025894538606403,0.025894538606403,9.0,0.3421052631578947,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
19720,三晃金属工業,none,,,,0.0462156731413261,0.0462156731413261,5.0,,D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
55760,オービーシステム,none,,,,0.0289750090546903,0.0289750090546903,2.0,8.675,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_history_short; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
18780,大東建託,none,,,,0.175,0.175,0.0,0.7239558822271089,A_non_cut_years; D_fcf_payout; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False,False
80400,東京ソワール,none,,,,0.041705282669138,0.041705282669138,3.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
77910,ドリームベッド,dps_fallback,0.03841676367869616,0.03837351246642289,0.03841676367869616,0.0383735124664228,0.0384167636786961,2.0,1.821917808219178,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,TT_not_all_pass,div_history_short,,yf,False,False,False,False,False,False
47770,ガーラ,dps_fallback,0.0,0.0,0.0,0.0,0.0,2.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout,TT_not_all_pass; yield_below_2pct,div_history_short,,jquants,False,False,False,False,False,False
72290,ユタカ技研,none,,,,0.0,0.0,0.0,0.1225687886058502,A_non_cut_years; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_below_2pct,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
