code,Name,net_shares_source,shares_check_reason,data_quality_flags,effective_yield
87470,豊トラスティ証券,missing,shares_missing,shares_missing; div_split_adjusted,
62860,靜甲,missing,shares_missing,shares_missing,
51950,バンドー化学,missing,shares_missing,shares_missing; div_split_adjusted,
97290,トーカイ,missing,shares_missing,shares_missing; div_split_adjusted,
88300,住友不動産,missing,shares_missing,shares_missing; div_split_adjusted,
18480,富士ピー・エス,missing,shares_missing,shares_missing,
71830,あんしん保証,missing,shares_missing,shares_missing; div_split_adjusted,
19390,四電工,missing,shares_missing,shares_missing; div_split_adjusted,
44640,ソフト９９コーポレーション,missing,shares_missing,shares_missing,
41160,大日精化工業,missing,shares_missing,shares_missing; div_split_adjusted,
85240,北洋銀行,missing,shares_missing,shares_missing,
42420,タカギセイコー,missing,shares_missing,shares_missing; div_split_adjusted,
73270,第四北越フィナンシャルグループ,missing,shares_missing,shares_missing; div_split_adjusted,
59900,スーパーツール,missing,shares_missing,shares_missing; div_split_adjusted,
47200,城南進学研究社,missing,shares_missing,shares_missing,
34460,ジェイテックコーポレーション,missing,shares_missing,shares_missing; div_history_short,
79810,タカラスタンダード,missing,shares_missing,shares_missing; div_split_adjusted,
59920,中央発條,missing,shares_missing,shares_missing; div_split_adjusted,
18020,大林組,missing,shares_missing,shares_missing,
57150,古河機械金属,missing,shares_missing,shares_missing; div_split_adjusted,
97420,アイネス,missing,shares_missing,shares_missing,
80200,兼松,missing,shares_missing,shares_missing; div_split_adjusted,
43510,山田再生系債権回収総合事務所,missing,shares_missing,shares_missing,
19450,東京エネシス,missing,shares_missing,shares_missing,
38780,巴川コーポレーション,missing,shares_missing,shares_missing; div_split_adjusted,
68980,トミタ電機,missing,shares_missing,shares_missing; div_history_short,
74620,ＣＡＰＩＴＡ,missing,shares_missing,shares_missing; div_split_adjusted,
17200,東急建設,missing,shares_missing,shares_missing; div_split_adjusted,
95130,電源開発,missing,shares_missing,shares_missing; div_split_adjusted,
70220,サノヤスホールディングス,missing,shares_missing,shares_missing,
85630,大東銀行,missing,shares_missing,shares_missing; div_split_adjusted,
19510,エクシオグループ,missing,shares_missing,shares_missing; div_split_adjusted,
59010,東洋製罐グループホールディングス,missing,shares_missing,shares_missing,
42200,リケンテクノス,missing,shares_missing,shares_missing,
57020,大紀アルミニウム工業所,missing,shares_missing,shares_missing,
73580,ポピンズ,missing,shares_missing,shares_missing,
70180,内海造船,missing,shares_missing,shares_missing; div_split_adjusted,
18600,戸田建設,missing,shares_missing,shares_missing,
50190,出光興産,missing,shares_missing,shares_missing; div_split_adjusted,
34350,サンコーテクノ,missing,shares_missing,shares_missing; div_split_adjusted; fcf_payout_extreme:16.71,
46570,環境管理センター,missing,shares_missing,shares_missing,
18100,松井建設,missing,shares_missing,shares_missing,
91470,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
45530,東和薬品,missing,shares_missing,shares_missing; div_split_adjusted,
46260,太陽ホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
82260,理経,missing,shares_missing,shares_missing,
63070,サンセイ,missing,shares_missing,shares_missing,
51330,テリロジーホールディングス,missing,shares_missing,shares_missing; div_history_short,
68320,アオイ電子,missing,shares_missing,shares_missing,
97060,日本空港ビルデング,missing,shares_missing,shares_missing,
61030,オークマ,missing,shares_missing,shares_missing; div_split_adjusted,
18970,金下建設,missing,shares_missing,shares_missing; div_split_adjusted,
66190,ダブル・スコープ,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
76780,あさくま,missing,shares_missing,shares_missing; div_history_short,
38480,データ・アプリケーション,missing,shares_missing,shares_missing; div_split_adjusted,
59430,ノーリツ,missing,shares_missing,shares_missing,
59760,高周波熱錬,missing,shares_missing,shares_missing,
59420,日本フイルコン,missing,shares_missing,shares_missing,
46150,神東塗料,missing,shares_missing,shares_missing,
30110,バナーズ,missing,shares_missing,shares_missing; div_split_adjusted,
42280,積水化成品工業,missing,shares_missing,shares_missing; div_split_adjusted,
82180,コメリ,missing,shares_missing,shares_missing,
95090,北海道電力,missing,shares_missing,shares_missing,
82330,高島屋,missing,shares_missing,shares_missing; div_split_adjusted,
42160,旭有機材,missing,shares_missing,shares_missing; div_split_adjusted,
66260,ＳＥＭＩＴＥＣ,missing,shares_missing,shares_missing; div_split_adjusted,
72140,ＧＭＢ,missing,shares_missing,shares_missing,
68030,ティアック,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
27640,ひらまつ,missing,shares_missing,shares_missing; div_split_adjusted,
69770,日本抵抗器製作所,missing,shares_missing,shares_missing; div_split_adjusted,
71770,ＧＭＯフィナンシャルホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
69050,コーセル,missing,shares_missing,shares_missing; div_split_adjusted,
26070,不二製油,missing,shares_missing,shares_missing,
17360,オーテック,missing,shares_missing,shares_missing; div_split_adjusted,
77300,マニー,missing,shares_missing,shares_missing; div_split_adjusted,
79360,アシックス,missing,shares_missing,shares_missing; div_split_adjusted,
40050,住友化学,missing,shares_missing,shares_missing,
15150,日鉄鉱業,missing,shares_missing,shares_missing; div_split_adjusted,
34690,デュアルタップ,missing,shares_missing,shares_missing; div_split_adjusted,
79490,小松ウオール工業,missing,shares_missing,shares_missing; div_split_adjusted,
86220,水戸証券,missing,shares_missing,shares_missing,
63280,荏原実業,missing,shares_missing,shares_missing; div_split_adjusted,
85700,イオンフィナンシャルサービス,missing,shares_missing,shares_missing; div_split_adjusted,
90100,富士急行,missing,shares_missing,shares_missing; div_split_adjusted,
62540,野村マイクロ・サイエンス,missing,shares_missing,shares_missing; div_split_adjusted,
39740,ＳＣＡＴ,missing,shares_missing,shares_missing; div_split_adjusted,
95310,東京瓦斯,missing,shares_missing,shares_missing; div_split_adjusted,
45060,住友ファーマ,missing,shares_missing,shares_missing,
23710,カカクコム,missing,shares_missing,shares_missing; div_split_adjusted,
90680,丸全昭和運輸,missing,shares_missing,shares_missing; div_split_adjusted,
19790,大氣社,missing,shares_missing,shares_missing; div_split_adjusted,
82530,クレディセゾン,missing,shares_missing,shares_missing,
64280,オーイズミ,missing,shares_missing,shares_missing; div_split_adjusted,
45070,塩野義製薬,missing,shares_missing,shares_missing; div_split_adjusted,
72760,小糸製作所,missing,shares_missing,shares_missing; div_split_adjusted,
92130,セイファート,missing,shares_missing,shares_missing; div_history_short,
48850,室町ケミカル,missing,shares_missing,shares_missing; div_history_short,
83650,富山銀行,missing,shares_missing,shares_missing; div_split_adjusted,
19640,中外炉工業,missing,shares_missing,shares_missing; div_split_adjusted,
19940,高橋カーテンウォール工業,missing,shares_missing,shares_missing,
71750,今村証券,missing,shares_missing,shares_missing; div_split_adjusted,
70110,三菱重工業,missing,shares_missing,shares_missing; div_split_adjusted,
41000,戸田工業,missing,shares_missing,shares_missing; div_split_adjusted,
34010,帝人,missing,shares_missing,shares_missing; div_split_adjusted,
72780,エクセディ,missing,shares_missing,shares_missing,
42030,住友ベークライト,missing,shares_missing,shares_missing; div_split_adjusted,
80110,三陽商会,missing,shares_missing,shares_missing; div_split_adjusted,
90440,南海電気鉄道,missing,shares_missing,shares_missing; div_split_adjusted,
97350,セコム,missing,shares_missing,shares_missing; div_split_adjusted,
55410,大平洋金属,missing,shares_missing,shares_missing; div_split_adjusted,
74420,中山福,missing,shares_missing,shares_missing,
74830,ドウシシャ,missing,shares_missing,shares_missing; div_split_adjusted,
86160,東海東京フィナンシャル・ホールディングス,missing,shares_missing,shares_missing,
21220,インタースペース,missing,shares_missing,shares_missing; div_split_adjusted,
85110,日本証券金融,missing,shares_missing,shares_missing,
74870,小津産業,missing,shares_missing,shares_missing,
95340,北海道瓦斯,missing,shares_missing,shares_missing; div_split_adjusted,
18780,大東建託,missing,shares_missing,shares_missing; div_split_adjusted,
63380,タカトリ,missing,shares_missing,shares_missing,
96350,武蔵野興業,missing,shares_missing,shares_missing; div_history_short,
86280,松井証券,missing,shares_missing,shares_missing; div_split_adjusted,
42490,森六,missing,shares_missing,shares_missing,
72380,曙ブレーキ工業,missing,shares_missing,shares_missing,
22060,江崎グリコ,missing,shares_missing,shares_missing; div_split_adjusted,
61560,エーワン精密,missing,shares_missing,shares_missing; div_split_adjusted,
26020,日清オイリオグループ,missing,shares_missing,shares_missing; div_split_adjusted,
96390,三協フロンテア,missing,shares_missing,shares_missing; div_split_adjusted,
93030,住友倉庫,missing,shares_missing,shares_missing; div_split_adjusted,
22880,丸大食品,missing,shares_missing,shares_missing; div_split_adjusted,
34750,グッドコムアセット,missing,shares_missing,shares_missing; div_split_adjusted,
54580,高砂鐵工,missing,shares_missing,shares_missing; div_split_adjusted,
34470,信和,missing,shares_missing,shares_missing,
59940,ファインシンター,missing,shares_missing,shares_missing; div_split_adjusted,
40400,南海化学,missing,shares_missing,shares_missing; div_history_short,
32040,トーア紡コーポレーション,missing,shares_missing,shares_missing; div_split_adjusted,
49670,小林製薬,missing,shares_missing,shares_missing; div_split_adjusted,
46760,フジ・メディア・ホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
19970,暁飯島工業,missing,shares_missing,shares_missing; div_split_adjusted,
89450,サンネクスタグループ,missing,shares_missing,shares_missing; div_split_adjusted,
24080,ＫＧ情報,missing,shares_missing,shares_missing,
54910,日本金属,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
68640,エヌエフホールディングス,missing,shares_missing,shares_missing,
68100,マクセル,missing,shares_missing,shares_missing,
19760,明星工業,missing,shares_missing,shares_missing,
93040,澁澤倉庫,missing,shares_missing,shares_missing; div_split_adjusted,
51420,アキレス,missing,shares_missing,shares_missing; div_split_adjusted,
94750,昭文社ホールディングス,missing,shares_missing,shares_missing,
53520,黒崎播磨,missing,shares_missing,shares_missing; div_split_adjusted,
95070,四国電力,missing,shares_missing,shares_missing,
81320,シナネンホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
47120,ＫｅｙＨｏｌｄｅｒ,missing,shares_missing,shares_missing; div_split_adjusted,
21850,シイエム・シイ,missing,shares_missing,shares_missing; div_split_adjusted,
37660,システムズ・デザイン,missing,shares_missing,shares_missing,
25010,サッポロホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
59820,マルゼン,missing,shares_missing,shares_missing,
68820,三社電機製作所,missing,shares_missing,shares_missing,
80080,ヨンドシーホールディングス,missing,shares_missing,shares_missing,
62450,ヒラノテクシード,missing,shares_missing,shares_missing,
87930,ＮＥＣキャピタルソリューション,missing,shares_missing,shares_missing,
98200,エムティジェネックス,missing,shares_missing,shares_missing; div_split_adjusted,
77430,シード,missing,shares_missing,shares_missing; div_split_adjusted,
72400,ＮＯＫ,missing,shares_missing,shares_missing,
72150,ファルテック,missing,shares_missing,shares_missing; div_split_adjusted,
69420,ソフィアホールディングス,missing,shares_missing,shares_missing; div_history_short,
